"cell_type","gene","avg_log2FC","p_val","p_val_adj","pct.1","pct.2"
"ProB","Pax5",0.682052625183527,2.27662587647868e-13,7.35008664221143e-09,0.821,0.576
"FoB","Pax5",0.152103817997344,0.245876762223496,1,0.687,0.664
"Immature B","Pax5",0.357541801037532,0.0457752094701108,1,0.879,0.748
"PreB","Pax5",0.146135057437628,0.000275136615019769,1,0.913,0.766
"MzB","Pax5",-0.123456692552091,0.629851361588845,1,0.783,0.826
"Prepro B","Pax5",-0.631421557157603,0.662075781758385,1,0.015,0.018
